0x712aba4928	glNamedFramebufferTextureLayer
0x712aba4930	glNamedRenderbufferStorage
0x712aba4938	glNamedRenderbufferStorageMultisample
0x712aba4940	glTextureBuffer
0x712aba4948	glTextureBufferRange
0x712aba4950	glTextureParameterIiv
0x712aba4958	glTextureParameterIuiv
0x712aba4960	glTextureParameterf
0x712aba4968	glTextureParameterfv
0x712aba4970	glTextureParameteri
0x712aba4978	glTextureParameteriv
0x712aba4980	glTextureStorage1D
0x712aba4988	glTextureStorage2D
0x712aba4990	glTextureStorage2DMultisample
0x712aba4998	glTextureStorage3D
0x712aba49a0	glTextureStorage3DMultisample
0x712aba49a8	glTextureSubImage1D
0x712aba49b0	glTextureSubImage2D
0x712aba49b8	glTextureSubImage3D
0x712aba49c0	glTransformFeedbackBufferBase
0x712aba49c8	glTransformFeedbackBufferRange
0x712aba49d0	glUnmapNamedBuffer
0x712aba49d8	glVertexArrayAttribBinding
0x712aba49e0	glVertexArrayAttribFormat
0x712aba49e8	glVertexArrayAttribIFormat
0x712aba49f0	glVertexArrayAttribLFormat
0x712aba49f8	glVertexArrayBindingDivisor
0x712aba4a00	glVertexArrayElementBuffer
0x712aba4a08	glVertexArrayVertexBuffer
0x712aba4a10	glVertexArrayVertexBuffers
0x712aba4a18	glDrawBuffersARB
0x712aba4a20	glBlendEquationSeparateiARB
0x712aba4a28	glBlendEquationiARB
0x712aba4a30	glBlendFuncSeparateiARB
0x712aba4a38	glBlendFunciARB
0x712aba4a40	glDrawElementsBaseVertex
0x712aba4a48	glDrawElementsInstancedBaseVertex
0x712aba4a50	glDrawRangeElementsBaseVertex
0x712aba4a58	glMultiDrawElementsBaseVertex
0x712aba4a60	glDrawArraysIndirect
0x712aba4a68	glDrawElementsIndirect
0x712aba4a70	glFramebufferParameteri
0x712aba4a78	glGetFramebufferParameteriv
0x712aba4a80	glGetNamedFramebufferParameterivEXT
0x712aba4a88	glNamedFramebufferParameteriEXT
0x712aba4a90	glBindFramebuffer
0x712aba4a98	glBindRenderbuffer
0x712aba4aa0	glBlitFramebuffer
0x712aba4aa8	glCheckFramebufferStatus
0x712aba4ab0	glDeleteFramebuffers
0x712aba4ab8	glDeleteRenderbuffers
0x712aba4ac0	glFramebufferRenderbuffer
0x712aba4ac8	glFramebufferTexture1D
0x712aba4ad0	glFramebufferTexture2D
0x712aba4ad8	glFramebufferTexture3D
0x712aba4ae0	glFramebufferTextureLayer
0x712aba4ae8	glGenFramebuffers
0x712aba4af0	glGenRenderbuffers
0x712aba4af8	glGenerateMipmap
0x712aba4b00	glGetFramebufferAttachmentParameteriv
0x712aba4b08	glGetRenderbufferParameteriv
0x712aba4b10	glIsFramebuffer
0x712aba4b18	glIsRenderbuffer
0x712aba4b20	glRenderbufferStorage
0x712aba4b28	glRenderbufferStorageMultisample
0x712aba4b30	glFramebufferTextureARB
0x712aba4b38	glFramebufferTextureFaceARB
0x712aba4b40	glFramebufferTextureLayerARB
0x712aba4b48	glProgramParameteriARB
0x712aba4b50	glGetProgramBinary
0x712aba4b58	glProgramBinary
0x712aba4b60	glProgramParameteri
0x712aba4b68	glGetCompressedTextureSubImage
0x712aba4b70	glGetTextureSubImage
0x712aba4b78	glSpecializeShaderARB
0x712aba4b80	glGetUniformdv
0x712aba4b88	glUniform1d
0x712aba4b90	glUniform1dv
0x712aba4b98	glUniform2d
0x712aba4ba0	glUniform2dv
0x712aba4ba8	glUniform3d
0x712aba4bb0	glUniform3dv
0x712aba4bb8	glUniform4d
0x712aba4bc0	glUniform4dv
0x712aba4bc8	glUniformMatrix2dv
0x712aba4bd0	glUniformMatrix2x3dv
0x712aba4bd8	glUniformMatrix2x4dv
0x712aba4be0	glUniformMatrix3dv
0x712aba4be8	glUniformMatrix3x2dv
0x712aba4bf0	glUniformMatrix3x4dv
0x712aba4bf8	glUniformMatrix4dv
0x712aba4c00	glUniformMatrix4x2dv
0x712aba4c08	glUniformMatrix4x3dv
0x712aba4c10	glGetUniformi64vARB
0x712aba4c18	glGetUniformui64vARB
0x712aba4c20	glGetnUniformi64vARB
0x712aba4c28	glGetnUniformui64vARB
0x712aba4c30	glProgramUniform1i64ARB
0x712aba4c38	glProgramUniform1i64vARB
0x712aba4c40	glProgramUniform1ui64ARB
0x712aba4c48	glProgramUniform1ui64vARB
0x712aba4c50	glProgramUniform2i64ARB
0x712aba4c58	glProgramUniform2i64vARB
0x712aba4c60	glProgramUniform2ui64ARB
0x712aba4c68	glProgramUniform2ui64vARB
0x712aba4c70	glProgramUniform3i64ARB
0x712aba4c78	glProgramUniform3i64vARB
0x712aba4c80	glProgramUniform3ui64ARB
0x712aba4c88	glProgramUniform3ui64vARB
0x712aba4c90	glProgramUniform4i64ARB
0x712aba4c98	glProgramUniform4i64vARB
0x712aba4ca0	glProgramUniform4ui64ARB
0x712aba4ca8	glProgramUniform4ui64vARB
0x712aba4cb0	glUniform1i64ARB
0x712aba4cb8	glUniform1i64vARB
0x712aba4cc0	glUniform1ui64ARB
0x712aba4cc8	glUniform1ui64vARB
0x712aba4cd0	glUniform2i64ARB
0x712aba4cd8	glUniform2i64vARB
0x712aba4ce0	glUniform2ui64ARB
0x712aba4ce8	glUniform2ui64vARB
0x712aba4cf0	glUniform3i64ARB
0x712aba4cf8	glUniform3i64vARB
0x712aba4d00	glUniform3ui64ARB
0x712aba4d08	glUniform3ui64vARB
0x712aba4d10	glUniform4i64ARB
0x712aba4d18	glUniform4i64vARB
0x712aba4d20	glUniform4ui64ARB
0x712aba4d28	glUniform4ui64vARB
0x712aba4d30	glColorSubTable
0x712aba4d38	glColorTable
0x712aba4d40	glColorTableParameterfv
0x712aba4d48	glColorTableParameteriv
0x712aba4d50	glConvolutionFilter1D
0x712aba4d58	glConvolutionFilter2D
0x712aba4d60	glConvolutionParameterf
0x712aba4d68	glConvolutionParameterfv
0x712aba4d70	glConvolutionParameteri
0x712aba4d78	glConvolutionParameteriv
0x712aba4d80	glCopyColorSubTable
0x712aba4d88	glCopyColorTable
0x712aba4d98	glCopyConvolutionFilter2D
0x712aba4da0	glGetColorTable
0x712aba4da8	glGetColorTableParameterfv
0x712aba4db0	glGetColorTableParameteriv
0x712aba4db8	glGetConvolutionFilter
0x712aba4dc0	glGetConvolutionParameterfv
