rom	status	frames	secs	detail
mooneye/emulator-only/mbc1/ram_64kb.gb	FAIL	2	0.2	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc1/rom_16Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc1/rom_1Mb.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc1/rom_2Mb.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc1/rom_4Mb.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc1/rom_512kb.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc1/rom_8Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc2/bits_ramg.gb	CRASH	0	0.0	cart type 0x06 has no mapper in Carbon
mooneye/emulator-only/mbc2/bits_romb.gb	CRASH	0	0.0	cart type 0x06 has no mapper in Carbon
mooneye/emulator-only/mbc2/bits_unused.gb	CRASH	0	0.0	cart type 0x06 has no mapper in Carbon
mooneye/emulator-only/mbc2/ram.gb	CRASH	0	0.0	cart type 0x06 has no mapper in Carbon
mooneye/emulator-only/mbc2/rom_1Mb.gb	CRASH	0	0.0	cart type 0x05 has no mapper in Carbon
mooneye/emulator-only/mbc2/rom_2Mb.gb	CRASH	0	0.0	cart type 0x05 has no mapper in Carbon
mooneye/emulator-only/mbc2/rom_512kb.gb	CRASH	0	0.0	cart type 0x05 has no mapper in Carbon
mooneye/emulator-only/mbc5/rom_16Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc5/rom_1Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc5/rom_2Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc5/rom_32Mb.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc5/rom_4Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc5/rom_512kb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc5/rom_64Mb.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc5/rom_8Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/bits/unused_hwio-C.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/boot_div-A.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/boot_div-cgb0.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/boot_div-cgbABCDE.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/boot_hwio-C.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/boot_regs-A.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/boot_regs-cgb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/misc/ppu/vblank_stat_intr-C.gb	HANG	0	0.3	LCD off: PC=0168
